1$திருக்குறள்$திருவள்ளுவர்
93$விவிலியம் /புதிய ஏற்பாடு /காலாசியர்கள்$விவிலியம்
94$விவிலியம் /புதிய ஏற்பாடு /ஹீப்ரு$விவிலியம்
95$விவிலியம் /புதிய ஏற்பாடு /பிலமோன்$விவிலியம்
96$விவிலியம் /புதிய ஏற்பாடு /தெஸலோனியர்கள்$விவிலியம்
97$விவிலியம் /புதிய ஏற்பாடு /திமோதி$விவிலியம்
98$மதுரை மீனாட்சிஅம்மை பிள்ளைத்தமிழ்$குமரகுருபரர்
99$கலேவலா - தமிழாக்கம் - 3$உதயணன்
100$மதுரைக் கலம்பகம்$குமரகுருபரர்
101$சிலப்பதிகாரம் /பாகம் 1 /புகார்க்காண்டம்$இளங்கோ அடிகள்
102$நான்மணிக்கடிகை$விளம்பிநாகனார்
103$திருகடுகம்$நல்லாதனார்
104$கண்ணன் பாட்டு$சி. சுப்ரமணிய பாரதியார்
105$குயில் பாட்டு$சி. சுப்ரமணிய பாரதியார்
106$பாரதியார் பாடல்கள் - 3$சி. சுப்ரமணிய பாரதியார்
107$மதுராபுரி அம்பிகைமாலை$குலசேகர பாண்டியன்
108$இன்னிலை$பொய்கையார்
109$கைந்நிலை$புல்லங்காடனார்
110$சரஸ்வதி அந்தாதி$கம்பர்
111$சடகோபர் அந்தாதி$கம்பர்
112$முல்லைப் பாட்டு/ஆராய்ச்சி$மறைமலை அடிகள்
113$திருச்சிற்றம்பலக் கோவையார்$மாணிக்க வாசகர்
114$திருமுறை 8/ திருச்சிற்றம்பலக் கோவையார்$மாணிக்க வாசகர்
115$யாப்பெருங்கலக் காரிகை$அமிதசாகரர்
116$திணைமாலை நூற்றைம்பது$கணிமேதையார்
117$புறநானூறு$
118$ஈழநாடு இலக்கிய வளர்ச்சி$தயாளசிங்கம்
119$விவேக சிந்தாமணி$
120$ஆதிநாதன் வளமடல்$செயங்கொண்டார்
121$காரானை விழுப்பரையன் மடல்$செயங்கொண்டார்
122$பழைய இராமயணம்$
123$வளையாபதி$
124$பொருநாறாற்றுப்படை$முடத்தாமக்கண்ணியார்
125$சிறுபாணாற்றுப்படை$நத்தத்தனார்
126$அகங்களும் முகங்களும்$சி. வில்வரத்தினம்
127$அழியா நிழல்கள்$ம.ஆ. நூமான்
128$திருமுருகாற்றுப்படை$நக்கீரர்
129$இருபா இருபஃது$அருணந்தி சிவாச்சாரியார் 
130$உண்மை விளக்கம்$மணவாசகங் கடனார்
131$பெரும்பாணாற்றுப்படை$கடியலூர் உருத்திரங்கண்ணனார்
132$நெடுநல் வாடை$நக்கீரர்
133$மதுரைக் காஞ்சி$மாங்குடி மருதனார்
134$நாமக்கல் கவிஞர் பாடல்கள் - 1$நாமக்கல் இராமலிங்கம் பிள்ளை
135$குறிஞ்சிப் பாட்டு$கபிலர்
136$சித்தர் பாடல்கள் (மெய்ஞ்ஞானப் புலம்பல்)$பத்ரகிரியார்
137$திருக்கடவூர் பதிகங்கள்$அபிராமி பட்டர்
138$சித்தர் பாடல்கள் தொகுப்பு$அழுகணிச் சித்தர், இராமதேவர், கடுவெளிச் சித்தர், குதம்பைச் சித்தர், சட்டைமுனி , திருமூல நாயனார், திருவள்ளுவர்
139$பட்டினப்பாலை$கடியலூர் உருத்திரங்கண்ணனார்
140$மலைபடு கடாம்$பெருங்கௌசிகனார்
141$நாமக்கல் கவிஞர் பாடல்கள் - 2$நாமக்கல் இராமலிங்கம் பிள்ளை
142$சிவஞான போதம்$மெய்கண்ட தேவர்
143$திருவருட்பயன்$உமாபதி சிவாச்சாரியார்
144$மோகவாசல் (சிறுகதைத் தொகுப்பு)$இரஞ்ச குமார்
145$சித்தர் (பட்டினத்தார்) பாடல்கள்$பட்டினத்துப் பிள்ளையார்
146$தமிழ் இயக்கம்$பாரதிதாசன்
147$நாமக்கல் கவிஞர் பாடல்கள் - 3$நாமக்கல் இராமலிங்கம் பிள்ளை
148$இருண்ட வீடு$பாரதிதாசன்
149$பரிபாடல்$பல ஆசிரியர்கள் (13)
150$பரிபாடல் திரட்டு$
151$மரணத்தில் வாழ்வோம் (கவிதை தொகுப்பு)$பல ஆசிரியர்கள்
152$குடும்ப விளக்கு$பாரதிதாசன்
153$காதல் நினைவுகள்$பாரதிதாசன்
154$பாஞ்சாலி சபதம்$சி. சுப்ரமணிய பாரதியார்
155$திருமுறை 9 /திருஇசைப்பா$சேந்தனார்
156$திருமுறை 9 /திருஇசைப்பா$கருவூர்த்தேவர்
157$திருமுறை 9 /திருஇசைப்பா$பூந்துருத்திநம்பி காடநம்பி
158$திருமுறை 9 /திருஇசைப்பா$கண்டராதித்தர்
159$திருமுறை 9 /திருஇசைப்பா$வேணாட்டடிகள்
160$திருமுறை 9 /திருஇசைப்பா$திருவாலியமுதனார்
161$திருமுறை 9 /திருஇசைப்பா$திருமாளிகைத்தேவர்
162$இசை அமுது$பாரதிதாசன்
163$திருவாசகம் (ஆங்கில மொழிபெயர்ப்பு) - பாகம் 1 (tiruvAcagam or Sacred Utterances - part 1)$ஜி.யூ. போப் /மாணிக்க வாசகர் (G.U. Pope / mAnikkavACagar)
164$சந்திரிகையின் கதை$சி. சுப்ரமணிய பாரதியார்
165$முகம் கொள்$கே.பி. அரவிந்தன்
166$இனி ஒரு வைகறை$கே.பி. அரவிந்தன்
167$கனவின் மீதி$கே.பி. அரவிந்தன்
168$காற்றுவழிக் கிராமம்$எஸ். வில்வரத்தினம்
169$தொல்காப்பியம்$தொல்காப்பியர்
170$நேமிநாதம்$குணவீர பண்டிதர்
171$ஒப்பியல் இலக்கியம்$கே. கைலாசபதி
172$அழகர் கிள்ளை விடுதூது$சொக்கநாதப்புலவர்
173$பாண்டியன் பரிசு$பாரதிதாசன்
174$மனோண்மணீயம்$சுந்தரம் பிள்ளை
175$திருக்குற்றாலக் குறவஞ்சி$திருக்கூட ராசப்பக் கவிராயர்
176$திருக்குற்றால மாலை$திருக்கூட ராசப்பக் கவிராயர்
177$திருக்குற்றாலப் பதிகம்$திருஞான சம்பந்தர்
178$திருக்குறும்பாலப் பதிகம்$திருஞான சம்பந்தர்
179$அறியப்படாதவர்கள்நினைவாக$ஆ. யேசுராசா
180$இளைஞர் இலக்கியம்$பாரதிதாசன்
181$திருமலையாண்டவர் குறவஞ்சி$
182$குறுந்தொகை$பல ஆசிரியர்கள்
183$சிலப்பதிகாரம் /பாகம் 2 /மதுரைக்காண்டம்$இளங்கோ அடிகள்
184$சிலப்பதிகாரம் /பாகம் 3 /வஞ்சிக்காண்டம்$இளங்கோ அடிகள்
185$கோதை நாச்சியார் தாலாட்டு$
186$வடமலை நிகண்டு$ஈஸ்வர பாரதி
187$உண்மை நெறி விளக்கம்$உமாபதி சிவம்
188$கொடிக்கவி$உமாபதி சிவம்
189$போற்றீப்பஃறொடை$உமாபதி சிவம்
190$சிவப்பிரகாசம்$உமாபதி சிவம்
191$நெஞ்சு விடு தூது$உமாபதி சிவம்
192$வினா வெண்பா$உமாபதி சிவம்
193$மூவருலா$ஒட்டக்கூத்தர்
194$இருபதாம் நூற்றாண்டு ஈழத்தமிழ் இலக்கியம்$மௌனகுரு, சித்ரலேகா, நூமான்
195$சூடாமணி நிகண்டு$மண்டல புருடர்
196$பரத சேனாபதீயம்$
197$திருஉந்தியார்$உய்யவந்ததேவ நாயனார்
198$திருக்களிற்றுப்படியார்$
199$முத்தொள்ளாயிரம்$
200$காகம் கலைத்த கனவு$சோலைக்கிளி
201$முத்தொள்ளாயிரம்$
202$கலிங்கத்துப்பரணி$செயங்கொண்டார்
203$திருவருட்பா /திருமுறை 3 (பாடல்கள்1959 -2570)$இராமலிங்க அடிகள்
204$திருவருட்பா /திருமுறை 4 (பாடல்கள்2571 - 3028)$இராமலிங்க அடிகள்
205$திருமுறை 11-1 /பாசுரங்கள்$திருஆலவாய் உடையார்
206$திருமுறை 11-1 /பாசுரங்கள்$காரைக்கால் அம்மையார்
207$திருமுறை 11-1 /பாசுரங்கள்$ஐயடிகள் காடவர்கோன் நாயனார்
208$திருமுறை 11-1 /பாசுரங்கள்$சேரமான் பெருமாள் நாயனார்
209$திருமுறை 11-1 /பாசுரங்கள்$நக்கீரதேவ நாயனார்
210$திருமுறை 11-1 /பாசுரங்கள்$கல்லாடதேவ நாயனார்
211$திருமுறை 11-1 /பாசுரங்கள்$பரணதேவ நாயனார்
212$திருமுறை 11-1 /பாசுரங்கள்$இளம்பெருமான் அடிகள்
213$திருமுறை 11-1 /பாசுரங்கள்$அதிராவடிகள்
214$திருமுறை 11-2 /பாசுரங்கள்$பட்டினத்துப் பிள்ளையார்
215$திருமுறை 11-2 /பாசுரங்கள்$நம்பியாண்டார் நம்பி
216$திருவருட்பா /திருமுறை 5 (பாடல்கள் 3029-3266)$இராமலிங்க அடிகள்
217$பிரபந்தத்திரட்டு - பகுதி 1$தி. மீனாட்சிசுந்தரம் பிள்ளை
218$திருவருட்பா /திருமுறை 6.1 (பாடல்கள் 3267 -3871)$இராமலிங்க அடிகள்
219$சிறு கதைத் தொகுப்பு- 1$இரா. கார்த்திகேசு
220$மகா பரத சூடாமணி$
221$சங்கற்ப நிராகரணம்$உமாபதி சிவம்
222$பாண்டிய, சோழ, விஜயநகர அரசர் மெய்கீர்த்திகள்$
223$திருவருட்பா /திருமுறை 6.2 (பாடல்கள் 3872 - 4614)$இராமலிங்க அடிகள்
224$திருவருட்பா /தனிப்பாடல்கள்$இராமலிங்க அடிகள்
225$திருவருட்பா /திருமுறை 2.2 (பாடல்கள் 1007 - 1958)$இராமலிங்க அடிகள்
226$சோமேசர் முதுமொழி வெண்பா$சிவஞான முனிவர்
227$நீதி வெண்பா$
228$நால்வர் நான்மணி மாலை$துரைமங்கலம் சிவப்பிரகாச சுவாமிகள்
229$நன்னெறி$துரைமங்கலம் சிவப்பிரகாச முனிவர்
230$வெற்றிவேற்கை$அதிவீரராம பாண்டியர்
231$சிறு கதைத் தொகுப்பு-2$இரா. கார்த்திகேசு
232$மணிமேகலை$சீத்தலைச்சாத்தனார்
233$நந்திக்கலம்பகம்$
234$கலேவலா - உரைநடையில் கலேவலா$உதயணன்
235$சகலகலாவல்லிமாலை$குமரகுருபரர்
236$திருச்செந்துார் கந்தர் கலிவெண்பா$குமரகுருபரர்
237$நீதி நெறி விளக்கம்$குமரகுருபரர்
238$தண்டி அலங்காரம்$தண்டியாசிரியர்
239$திருவருட்பா /திருமுறை 6.3 (பாடல்கள் 4615-5818)$இராமலிங்க அடிகள்
240$நன்னூல்$பவநந்தி முனிவர்
241$காதலினால் அல்ல$இரா. கார்த்திகேசு
242$எண்ணெய்ச் சிந்து$
243$கந்தன் மணம்புரி சிந்து$சண்முகதாசன்
244$சித்தராரூட நொண்டிச்சிந்து$
245$சுப்பிரமணியர் மேல் சிந்து$
246$பழனியாண்டவர் காவடிச்சிந்து$முத்துக் கறுப்பண்ணன்
247$தேவாரம் - முதல் திருமுறை, பாகம் 1 (பாடல்கள் 1-721)$திருஞான சம்பந்தர்
248$தேவாரம் - முதல் திருமுறை, பாகம் 2 (பாடல்கள் 722-1469)$திருஞான சம்பந்தர்
249$நன்னூல் - மற்றொரு பதிப்பு$பவநந்தி முனிவர்
250$திருக்குறள் - ஆங்கில மொழிபெயர்ப்பு$ஜி.யூ. போப் மற்றும் பலர்
251$ஏரெழுபது$கம்பர்
252$திருக்கை வழக்கம்$கம்பர்
253$எக்காலக் கண்ணி$
254$விவிலியம் /புதிய ஏற்பாடு -6 /யாக்கோப்பு திருமுகம்$விவிலியம்
255$விவிலியம் /புதிய ஏற்பாடு -6 /பேதுரு முதல், இரண்டாம் திருமுகம்$விவிலியம்
256$விவிலியம் /புதிய ஏற்பாடு -6 /யோவான் மூன்றாம் திருமுகம்$விவிலியம்
257$விவிலியம் /புதிய ஏற்பாடு -6 /யூதா திருமுகம், திருவெளிப்பாடு$விவிலியம்
258$தேவாரம் - இரண்டாம் திருமுறை, பாகம் 1 (பாடல்கள் 1-654)$திருஞான சம்பந்தர்
259$இராமாயண வெண்பா$மதுரகவி ஸ்ரீனிவாச ஐயங்கார்
260$எதிர்பாராத முத்தம்$பாரதிதாசன்
261$அங்கயற்கண்ணி மாலை$உ.வே. சாமிநாத அய்யர்
262$களக்காட்டுச் சத்தியவாசகர் இரட்டைமணி மாலை$
263$திருக்காளத்தி இட்டகாமிய மாலை$
264$பழனி இரட்டைமணி மாலை$
265$மகரநெடுங் குழைக்காதர் பாமாலை$நாராயண தீட்சதர்
266$பட்டுக்கோட்டை பாடல்கள்$பட்டுக்கோட்டை கல்யாணசுந்தரம்
267$தேவாரம் - இரண்டாம் திருமுறை, பாகம் 2 (பாடல்கள் 655-1331)$திருஞான சம்பந்தர்
268$சிதம்பர மும்மணிக் கோவை$குமரகுருபரர்
269$திருவாரூர் நான்மணிமாலை$குமரகுருபரர்
270$கவிதைகள் - முதற் தொகுதி (75 கவிதைகள் )$பாரதிதாசன்
271$புரட்சிக் கவிதைகள் -பாகம் 1, 2$பாரதிதாசன்
272$சீறாப்புராணம் காண்டம்-1 பாகம்-1$உமறுப் புலவர்
273$சீறாப்புராணம் காண்டம்-1 பாகம்-2$உமறுப் புலவர்
274$பொன்னியின் செல்வன்$கல்கி கிருஷ்ணமூர்த்தி
275$மதுரை மீனாட்சிஅம்மை இரட்டைமணிமாலை$குமரகுருபரர்
276$முத்துக்குமார சுவாமி பிள்ளைத்தமிழ்$குமரகுருபரர்
277$மீனாட்சியம்மைகுறம்$குமரகுருபரர்
278$அந்திம காலம் (நாவல்)$இரா. கார்த்திகேசு
279$தேவாரம் - மூன்றாம் திருமுறை, பாகம் 1 (பாடல்கள் 1- 713)$திருஞான சம்பந்தர்
280$சீறாப்புராணம் காண்டம்-2 பாகம்-1$உமறுப் புலவர்
281$சீறாப்புராணம் காண்டம்-2 பாகம்-2$உமறுப் புலவர்
282$தில்சை சிவகாமியம்மை இரட்டை மணிமாலை$குமரகுருபரர்
283$தமிழச்சியின் கதை$பாரதிதாசன்
284$சீறாப்புராணம் காண்டம்-3 பாகம்-1$உமறுப் புலவர்
285$தேவாரம் - மூன்றாம் திருமுறை, பாகம் 2 (பாடல்கள் 714 -1347)$திருஞான சம்பந்தர்
286$திருப்புகழ் /பாகம் 1 (பாடல்கள் 1-330)$அருணகிரிநாதர்
287$தேவாரம் - நான்காம் திருமுறை, பாகம் 1 (பாடல்கள் 1-487)$திருநாவுக்கரசர்
288$தேவாரம் - நான்காம் திருமுறை, பாகம் 2 (பாடல்கள் 488-1070)$திருநாவுக்கரசர்
289$திருப்பேரூர்ப் பட்டீசர் கண்ணாடி விடுதூது$கோவை செட்டிபாளையம் மகாவித்துவான் குட்டியப்ப கவுண்டர்
290$திருவானைக்கா அகிலாண்டநாயகி பிள்ளைத் தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை 
291$பிரபந்தத்திரட்டு - பகுதி 2$தி. மீனாட்சிசுந்தரம் பிள்ளை 
292$ஒரு கிராமத்துப் பெண்ணின் தலைப் பிரசவம்$இரா. முருகன்
293$தேவாரம் - ஐந்தாம் திருமுறை, பாகம் 1 (பாடல்கள் 1-519)$திருநாவுக்கரசர்
294$திருப்புகழ் /பாகம் 2 (பாடல்கள் 331-670)$அருணகிரிநாதர்
295$தேவாரம் - ஐந்தாம் திருமுறை, பாகம் 2 (பாடல்கள் 520 - 1016)$திருநாவுக்கரசர்
296$திருப்புகழ் /பாகம் 3 (பாடல்கள் 671 - 1000)$அருணகிரிநாதர்
297$சேக்கிழார் பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை 
298$திருப்புகழ் /பாகம் 4 (பாடல்கள் 10011-1326)$அருணகிரிநாதர்
299$தேவாரம் - ஆறாம் திருமுறை - பாகம் 1 (பாடல்கள் 1-508)$திருநாவுக்கரசர்
300$சிவகாமியின் சபதம் /பாகம் 1 /பூகம்பம்$கல்கி கிருஷ்ணமூர்த்தி
301$சிவகாமியின் சபதம் /பாகம் 2 /காஞ்சி முற்றுகை$கல்கி கிருஷ்ணமூர்த்தி
302$சிவகாமியின் சபதம் /பாகம் 3 /பிக்ஷுவின் காதல்$கல்கி கிருஷ்ணமூர்த்தி
303$தேவாரம் -ஆறாம் திருமுறை, பாகம் 2 (பாடல்கள் 509-981)$திருநாவுக்கரசர்
304$காசிக் கலம்பகம்$குமரகுருபரர்
305$சிதம்பரச் செய்யுட்கோவை$குமரகுருபரர்
306$பண்டார மும்மணிக்கோவை$குமரகுருபரர்
307$சிறுகதைகள் - தொகுப்பு - 1$ஜெயகாந்தன்
308$சிறுகதைகள் - தொகுப்பு - 2$ஜெயகாந்தன்
309$வினா வெண்பா, கொடிக்கவி, நெஞ்சு விடு தூது, சிவப்பிரகாசம்$ஸ்ரீ ஈசான்ய ஞான தேசிகர் மீது
310$சிவகாமியின் சபதம் /பாகம் 4 /சிதைந்த கனவு$கல்கி கிருஷ்ணமூர்த்தி
311$கவிச்சக்ரவர்த்தி கம்பர்$இராகவ ஐயங்கார்
312$சீறாப்புராணம் காண்டம்-3 பாகம்-2$உமறுப் புலவர்
313$சிறுகதைகள் - தொகுப்பு - 3$ஜெயகாந்தன்
314$அலை ஓசை /பாகம் 1 (பூகம்பம்)$கல்கி கிருஷ்ணமூர்த்தி
315$அலை ஓசை /பாகம் 2 (புயல்)$கல்கி கிருஷ்ணமூர்த்தி
316$தேவாரம் - ஏழாம் திருமுறை - பகுதி 1 (பாடல்கள் 1-517)$சுந்தரமூர்த்தி சுவாமிகள்
317$அலை ஓசை /பாகம் 3 (புயல்)$கல்கி கிருஷ்ணமூர்த்தி
318$திருத்தொண்டர் புராணம் /சருக்கம் 1, 2$சேக்கிழார்
319$பெரிய புராணம் - காண்டம் 1, சருக்கம் 1, 2$சேக்கிழார்
320$அலை ஓசை /பாகம் 4 (புயல்)$கல்கி கிருஷ்ணமூர்த்தி
321$தேவாரம் - ஏழாம் திருமுறை - பகுதி 2 (பாடல்கள் 518-1026)$சுந்தரமூர்த்தி சுவாமிகள்
322$சித்தர் பாடல்கள் தொகுப்பு 4$அகப்பேய் சித்தர், இடைக்காட்டுச் சித்தர்,கொங்கணச் சித்தர்
323$திருமுறைகண்ட புராணம்$உமாபதி சிவம்
324$பார்த்திபன் கனவு /பாகம் - 1-2$கல்கி கிருஷ்ணமூர்த்தி
325$திருத்தொண்டர் புராணம் /சருக்கம் 3$சேக்கிழார்
326$பெரிய புராணம் - காண்டம் 1, சருக்கம் 3$சேக்கிழார்
327$திருத்தொண்டர் புராண வரலாறு (சேக்கிழார் சுவாமிகள் புராணம்)$உமாபதி சிவம்
328$பிரதாப முதலியார் சரித்திரம்$மயூரம் வேதநாயகம் பிள்ளை
329$திருத்தொண்டர் புராணம் /சருக்கம் 4, 5$சேக்கிழார்
330$பெரிய புராணம் - காண்டம் 1, சருக்கம் 4, 5$சேக்கிழார்
331$பழமொழி விளக்கம் /தண்டலையார் சதகம்$படிக்காசுப் புலவர்
332$காளமேகப் புலவர் பாடல்கள்$காளமேகம்
333$கலித்தொகை$
334$திருவாசகம் (ஆங்கில மொழிபெயர்ப்பு) - பாகம் 2 (tiruvAcagam or Sacred Utterances - part 2)$ஜி.யூ. போப் (G.U.Pope / mAnikkavACagar)
335$பார்த்திபன் கனவு /பாகம் - 3$கல்கி கிருஷ்ணமூர்த்தி
336$பெரிய புராணம் - காண்டம் 2, சருக்கம் 6, பகுதி 1$சேக்கிழார்
337$பெரிய புராணம் - காண்டம் 2, சருக்கம் 6, பகுதி 2$சேக்கிழார்
338$பெரிய புராணம் - காண்டம் 2, சருக்கம் 6, பகுதி 3$சேக்கிழார்
339$பெரிய புராணம் - காண்டம் 2, சருக்கம் 6, பகுதி 4$சேக்கிழார்
340$சோலைமலை இளவரசி$கல்கி கிருஷ்ணமூர்த்தி
341$அகநானுறு$
342$இரங்கேச வெண்பா$
343$விநாயகர் அகவல்$ஔவையார், பு.பா.இரசபதி உரையுடன்
344$காந்திமதியம்மை பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை
345$ஸ்ரீமங்களாம்பிகை பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை
346$பெருந்திருப்பிராட்டியார் பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை
347$திருவிடைக்கழிமுருகர் பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை
348$பிரபந்தத்திரட்டு - பகுதி 10 - ஸ்ரீ அம்பலவாணதேசிகர் பிள்ளைத்தமிழ்$தி. மீனாட்சிசுந்தரம் பிள்ளை
